gene	w	p_value
V2043	SDC4	249	3.33786010742187e-06
V1529	NFKBIB	6	6.67572021484375e-06
V2457	TRAT1	247	6.67572021484375e-06
V289	CCNA2	246	9.05990600585937e-06
V789	FLT3	246	9.05990600585937e-06
V1739	PLK4	246	9.05990600585937e-06
V2527	UBR1	7	9.05990600585937e-06
V317	CD72	245	1.19209289550781e-05
V683	ELN	245	1.19209289550781e-05
V955	HCLS1	245	1.19209289550781e-05
V1692	PHC2	245	1.19209289550781e-05
V209	BRIP1	244	1.57356262207031e-05
V330	CDC26	9	1.57356262207031e-05
V423	CLU	244	1.57356262207031e-05
V501	CTLA4	244	1.57356262207031e-05
V619	DSCC1	244	1.57356262207031e-05
V916	GRIN2A	244	1.57356262207031e-05
V1683	PF4	244	1.57356262207031e-05
V319	CD79B	243	2.05039978027344e-05
V600	DOK3	243	2.05039978027344e-05
V1357	MCC	10	2.05039978027344e-05
V1707	PIK3CG	243	2.05039978027344e-05
V2487	TSR1	10	2.05039978027344e-05
V2620	XAB2	10	2.05039978027344e-05
V28	ADAM12	242	2.62260437011719e-05
V288	CCNA1	11	2.62260437011719e-05
V369	CENPM	242	2.62260437011719e-05
V747	F2RL1	242	2.62260437011719e-05
V878	GNB2	11	2.62260437011719e-05
V1301	LYL1	242	2.62260437011719e-05
V1930	RFC4	242	2.62260437011719e-05
V2320	TAL1	242	2.62260437011719e-05
V2515	TYRO3	242	2.62260437011719e-05
V205	BRCA2	241	3.33786010742187e-05
V340	CDCA8	241	3.33786010742187e-05
V2029	SCAF11	12	3.33786010742187e-05
V2174	SMC4	241	3.33786010742187e-05
V374	CENPW	240	4.1961669921875e-05
V858	GINS3	240	4.1961669921875e-05
V971	HEXIM1	13	4.1961669921875e-05
V978	HIPK2	13	4.1961669921875e-05
V1661	PDCD5	13	4.1961669921875e-05
V1938	RGS3	13	4.1961669921875e-05
V2089	SET	240	4.1961669921875e-05
V2473	TRMT112	13	4.1961669921875e-05
V2503	TUBGCP3	240	4.1961669921875e-05
V291	CCNE1	239	5.24520874023437e-05
V508	CUL4A	14	5.24520874023437e-05
V1497	NCAPD2	239	5.24520874023437e-05
V2528	UBR2	14	5.24520874023437e-05
V45	ADRB2	238	6.53266906738281e-05
V63	AMBP	238	6.53266906738281e-05
V390	CHEK1	238	6.53266906738281e-05
V533	DBF4	238	6.53266906738281e-05
V547	DDX19B	238	6.53266906738281e-05
V931	GSPT1	15	6.53266906738281e-05
V1509	NDUFA13	238	6.53266906738281e-05
V1639	PAFAH1B3	15	6.53266906738281e-05
V532	DAXX	16	8.05854797363281e-05
V663	EIF1AX	16	8.05854797363281e-05
V756	FBLN1	237	8.05854797363281e-05
V813	GAB3	237	8.05854797363281e-05
V2495	TTF2	237	8.05854797363281e-05
V339	CDCA5	236	9.87052917480469e-05
V371	CENPP	236	9.87052917480469e-05
V559	DET1	17	9.87052917480469e-05
V711	ERBB2	17	9.87052917480469e-05
V722	ESR2	236	9.87052917480469e-05
V777	FGB	236	9.87052917480469e-05
V884	GNGT1	17	9.87052917480469e-05
V967	HERC6	236	9.87052917480469e-05
V1010	HLA-DRA	236	9.87052917480469e-05
V1372	MED1	236	9.87052917480469e-05
V1528	NFKB2	17	9.87052917480469e-05
V1622	ORC1	236	9.87052917480469e-05
V1760	POLR2H	17	9.87052917480469e-05
V1880	RAD1	236	9.87052917480469e-05
